City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,smara,26.7384,-11.6719,29.62,31,0,8.53,EH,1686765119
84,gaspe,48.8334,-64.4819,17.12,72,75,5.66,CA,1686765120
85,gordonvale,-17.0936,145.7842,19.95,100,68,1.68,AU,1686765122
86,hun,29.1268,15.9477,39.01,9,10,6.32,LY,1686765122
87,port saint john's,-31.6229,29.5448,17.92,70,76,5.06,ZA,1686765122
88,nosy varika,-20.5833,48.5333,20.95,89,3,1.87,MG,1686765122
89,vorgashor,67.5833,63.95,1.47,97,100,6.55,RU,1686764626
90,san luis de la loma,17.2706,-100.8939,33.62,50,80,4.72,MX,1686765123
91,cockburn town,21.4612,-71.1419,28.32,82,65,7.43,TC,1686764731
92,obo,5.3998,26.4869,24.19,74,98,0.07,CF,1686765123
93,lihue,21.9789,-159.3672,25.81,89,100,7.2,US,1686764728
94,stupino,54.9008,38.0708,16.33,72,70,4.05,RU,1686765123
95,notodden,59.5594,9.2585,27.92,26,0,4.12,NO,1686765124
96,mao,39.8885,4.2658,23.31,73,20,6.69,ES,1686765124
97,cavelossim,15.1726,73.9419,28.99,83,78,3.02,IN,1686765128
98,sabang,5.8933,95.3214,28.67,77,41,8.27,ID,1686765128
99,sona,45.4388,10.8255,25.75,50,40,3.09,IT,1686765129
100,port shepstone,-30.7414,30.455,19.83,70,8,7.29,ZA,1686765129
101,invercargill,-46.4,168.35,2.63,93,95,1.32,NZ,1686764603
102,estevan,49.1334,-102.9842,27.19,57,0,6.17,CA,1686764837
103,tomatlan,19.9333,-105.25,34.91,40,46,3.64,MX,1686765130
104,avarua,-21.2078,-159.775,24.03,83,75,4.12,CK,1686764604
105,susuman,62.7833,148.1667,6.87,92,4,1.96,RU,1686764746
106,qarazhal,48.0078,70.7903,19.05,29,63,8.42,KZ,1686765131
107,carloforte,39.145,8.3058,20.61,82,84,7.43,IT,1686765131
108,touros,-5.1989,-35.4608,28.68,67,29,4.92,BR,1686764429
109,nova vicosa,-17.8919,-39.3719,25.82,68,22,3.73,BR,1686764982
110,constantia,44.1833,28.65,20.39,84,44,2.44,RO,1686764570
111,olonkinbyen,70.9221,-8.7187,2.59,97,100,7.24,SJ,1686764630
112,san rafael del sur,11.8485,-86.4384,30.54,59,99,5.81,NI,1686765140
113,west island,-12.1568,96.8225,26.99,83,40,10.16,CC,1686764660
114,ubari,26.5921,12.7805,34.64,19,79,5.66,LY,1686765140
115,dudinka,69.4058,86.1778,6.46,75,41,5.35,RU,1686764626
116,naze,28.3667,129.4833,21.51,90,100,2.03,JP,1686765141
117,klyuchi,52.2667,79.1667,13.53,46,3,1.46,RU,1686764726
118,freetown,8.484,-13.2299,27.2,78,100,3.9,SL,1686764872
119,mondragon,12.5157,124.7523,24.91,92,93,1.74,PH,1686765142
120,hengchun,22.0042,120.7439,25.74,93,100,1.07,TW,1686765143
121,georgetown,5.4112,100.3354,29.96,81,20,1.54,MY,1686764416
122,st. john's,47.5649,-52.7093,15.15,79,75,3.6,CA,1686764405
123,jamestown,42.097,-79.2353,16.42,82,100,7.2,US,1686764352
124,nemuro,43.3236,145.575,11.69,100,100,1.5,JP,1686764698
125,montagu,-40.7667,144.9667,13.08,88,100,7.12,AU,1686765147
126,afaahiti,-17.75,-149.2833,25.93,74,12,7.76,PF,1686764792
127,la passe,45.5549,-0.8967,27.13,80,54,5.55,FR,1686764629
128,voznesenskoye,54.89,42.7569,14.27,70,98,2.8,RU,1686765149
129,manicore,-5.8092,-61.3003,21.97,83,100,4.12,BR,1686765149
130,ust'-ilimsk,58.0006,102.6619,7.22,90,100,2.64,RU,1686764650
131,isafjordur,66.0755,-23.124,10.02,81,75,3.6,IS,1686764628
132,luganville,-15.5333,167.1667,24.95,89,92,3.46,VU,1686764717
133,maloye ganyushkino,46.6,49.2667,28.18,35,100,2.79,KZ,1686765150
134,pangody,65.85,74.4859,4.6,87,99,8.82,RU,1686764604
135,zalingei,12.9096,23.4741,28.03,52,99,1.11,SD,1686765150
136,codrington,-38.2667,141.9667,11.89,90,100,6.81,AU,1686764776
137,stanley,54.868,-1.6985,19.77,47,0,4.12,GB,1686764603
138,marksville,31.128,-92.0662,33.36,37,7,4.76,US,1686764824
139,margate,51.3813,1.3862,19.37,73,3,3.58,GB,1686764531
140,mount gambier,-37.8333,140.7667,11.76,95,100,4.59,AU,1686764630
141,anadyr,64.75,177.4833,2.28,69,0,3.0,RU,1686764399
142,griffith,41.5284,-87.4237,22.93,75,100,2.57,US,1686765151
143,poltavka,54.3663,71.7632,15.42,52,10,2.48,RU,1686765151
144,tir pul,34.5943,61.269,30.79,13,0,7.97,AF,1686765152
145,coquimbo,-29.9533,-71.3436,13.85,67,0,4.12,CL,1686764634
146,nizhnesortymskiy,62.4397,71.7603,9.59,59,90,5.69,RU,1686765152
147,callao,-12.0667,-77.15,23.16,64,100,3.09,PE,1686764752
148,harper,4.375,-7.7169,26.26,66,52,3.2,LR,1686765152
149,fort mcmurray,56.7268,-111.381,12.77,100,100,6.17,CA,1686765153
150,hamilton,39.1834,-84.5333,24.77,66,75,4.12,US,1686764430
151,gadzhiyevo,69.2551,33.3362,10.2,69,11,7.7,RU,1686764669
152,fortuna,40.5982,-124.1573,14.25,94,75,3.09,US,1686764750
153,dasuya,31.8183,75.6597,29.02,54,91,4.39,IN,1686765153
154,as safirah,36.077,37.3725,23.3,52,2,7.61,SY,1686765160
155,rustaq,23.3908,57.4244,35.96,18,99,1.23,OM,1686765161
156,dakhla,23.6848,-15.958,23.01,68,39,10.8,EH,1686765161
157,herceg novi,42.4531,18.5375,21.71,88,75,0.51,ME,1686765161
158,okeechobee,27.2439,-80.8298,34.99,74,20,4.12,US,1686764944
159,iskateley,67.6803,53.1512,5.01,71,95,6.87,RU,1686764669
160,jerantut,3.936,102.3626,24.26,92,85,0.57,MY,1686765161
161,camocim,-2.9022,-40.8411,30.71,56,3,5.94,BR,1686765162
162,polyarnyy,69.1989,33.4478,10.41,69,13,7.15,RU,1686764711
163,fairbanks,64.8378,-147.7164,11.72,72,75,4.63,US,1686765162
164,whitehorse,60.7161,-135.0538,12.83,46,75,3.09,CA,1686765162
165,sao miguel do araguaia,-13.275,-50.1628,33.31,30,16,2.37,BR,1686764997
166,hermanus,-34.4187,19.2345,12.67,76,94,8.49,ZA,1686764666
167,sola,-13.8833,167.55,26.01,80,91,5.07,VU,1686764800
168,pacific grove,36.6177,-121.9166,16.82,86,100,4.12,US,1686764880
169,san fernando de apure,7.8878,-67.4724,29.44,79,100,3.38,VE,1686765164
170,port lincoln,-34.7333,135.8667,14.64,76,99,8.01,AU,1686764736
171,port moresby,-9.4431,147.1797,25.68,83,40,5.14,PG,1686765124
172,kelme,55.6339,22.9342,21.01,87,100,1.29,LT,1686765164
173,polessk,54.862,21.1028,16.03,89,100,2.84,RU,1686765165
174,nanakuli,21.3906,-158.1547,25.97,75,20,3.09,US,1686765170
175,mili,6.0815,171.735,28.49,78,75,8.19,MH,1686765170
176,karbala,32.616,44.0249,35.16,19,0,2.56,IQ,1686765170
177,kodinsk,58.6881,99.1844,4.48,81,55,2.22,RU,1686764712
178,camayenne,9.535,-13.6878,27.79,77,84,3.81,GN,1686765170
179,ola,59.5833,151.2833,6.18,81,45,1.61,RU,1686765170
180,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,84,40,3.6,BR,1686765171
181,holualoa,19.6228,-155.9522,24.17,81,75,1.54,US,1686764778
182,rumoi,43.9344,141.6428,15.25,97,66,1.18,JP,1686765171
183,muravlenko,63.7898,74.523,7.1,66,91,9.56,RU,1686765171
184,konarka,19.9,86.1167,30.22,76,68,7.58,IN,1686765171
185,arraial do cabo,-22.9661,-42.0278,26.98,78,40,6.17,BR,1686764809
186,enewetak,11.3474,162.3373,27.75,82,100,9.45,MH,1686764704
187,launceston,-41.45,147.1667,8.42,90,75,3.6,AU,1686765172
188,waingapu,-9.6567,120.2641,22.34,87,75,2.73,ID,1686765172
189,longboat key,27.4125,-82.659,34.02,60,40,5.66,US,1686765173
190,dehui,44.5333,125.7,20.54,54,92,2.35,CN,1686765173
191,bairnsdale,-37.8333,147.6167,5.59,88,42,3.49,AU,1686765173
192,alamosa,37.4695,-105.87,17.99,34,0,2.57,US,1686765173
193,tongchuanshi,35.0806,109.0897,21.97,38,100,1.37,CN,1686765173
194,rio grande,-32.035,-52.0986,17.06,60,36,3.72,BR,1686764834
195,cidreira,-30.1811,-50.2056,14.44,95,100,4.37,BR,1686764800
196,qaqortoq,60.7167,-46.0333,4.87,90,99,1.35,GL,1686764632
197,ixtapa,20.7,-105.2,30.57,58,0,4.12,MX,1686764708
198,zhalantun,48.0,122.7167,12.6,80,36,2.27,CN,1686765175
199,yaroslavl,57.6299,39.8737,18.89,55,0,1.0,RU,1686765175
200,nizhneangarsk,55.7833,109.55,5.86,79,51,0.7,RU,1686765177
201,christchurch,-43.5333,172.6333,9.95,84,100,2.24,NZ,1686765134
202,chios,38.3678,26.1358,25.92,57,0,3.09,GR,1686765177
203,souillac,-20.5167,57.5167,24.21,94,75,3.6,MU,1686765177
204,tamanrasset,22.785,5.5228,35.95,11,40,4.63,DZ,1686765177
205,horta,38.5333,-28.6333,20.8,90,20,7.6,PT,1686765177
206,valle hermoso,25.6667,-97.8333,33.27,40,58,10.36,MX,1686765177
207,coari,-4.085,-63.1414,25.75,72,100,2.32,BR,1686765177
208,kuala belait,4.5833,114.1833,25.09,93,99,2.33,BN,1686765177
209,sao tome,0.3365,6.7273,25.78,83,60,4.42,ST,1686764629
